en-gb,cy
England,Lloegr
Wales,Cymru
Scotland,Yr Alban
Northern Ireland,Gogledd Iwerddon
Republic of Ireland,Gweriniaeth Iwerddon
Afghanistan,Affganistan
Åland Islands,Ynysoedd Åland
Albania,Albania
Algeria,Algeria
American Samoa,Samoa Americanaidd
Andorra,Andorra
Angola,Angola
Anguilla,Anguilla
Antigua and Barbuda,Antigua a Barbuda
Argentina,Ariannin
Armenia,Armenia
Aruba,Aruba
Australia,Awstralia
Austria,Awstria
Azerbaijan,Azerbaijan
Barbados,Barbados
Bahrain,Bahrain
Bangladesh,Bangladesh
Belarus,Belarws
Belgium,Gwlad Belg
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Bhutan,Bhutan
Bolivia,Bolifia
"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius a Saba"
Bosnia and Herzegovina,Bosnia a Herzegovina
Botswana,Botswana
Bouvet Island,Ynys Bouvet
Brazil,Brasil
British Indian Ocean Territory,Tiriogaeth Brydeinig Cefnfor India
British Virgin Islands,Ynysoedd Prydeinig y Wyryf
Brunei,Brunei
Bulgaria,Bwlgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Canary Islands,Yr Ynysoedd Dedwydd
Cape Verde,Cabo Verde
Cayman Islands,Ynysoedd Cayman
Central African Republic,Gweriniaeth Canol Affrica
Chad,Chad
Channel Islands,Ynysoedd y Sianel
Chile,Chile
China,Tsieina
Christmas Island,Ynys y Nadolig
Cocos (Keeling) Islands,Ynysoedd Cocos (Keeling)
Colombia,Colombia
Comoros,Comoros
Congo,Congo
Congo (Democratic Republic),Congo (Gweriniaeth Ddemocrataidd)
Cook Islands,Ynysoedd Cook
Costa Rica,Costa Rica
Croatia,Croatia
Cuba,Cuba
Curaçao,Curaçao
Cyprus,Cyprus
Czechia,Czechia
Denmark,Denmarc
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Gweriniaeth Dominica
East Timor,Dwyrain Timor
Ecuador,Ecuador
Egypt,Yr Aifft
El Salvador,El Salvador
Equatorial Guinea,Guinea Gyhydeddol
Eritrea,Eritrea
Estonia,Estonia
Eswatini,Eswatini
Ethiopia,Ethiopia
Falkland Islands,Ynysoedd Falkland (Malvinas)
Faroe Islands,Ynysoedd Ffaro
Fiji,Ffiji
Finland,Y Ffindir
France,Ffrainc
French Guiana,Guiana Ffrengig
French Polynesia,Polynesia Ffrengig
French Southern Territories,Y Tiriogaethau Deheuol Ffrengig
Gabon,Gabon
Georgia,Georgia
Germany,Yr Almaen
Ghana,Ghana
Gibraltar,Gibraltar
Greece,Gwlad Groeg
Greenland,Kalaallit Nunaat (Greenland)
Grenada,Grenada
Guadeloupe,Guadeloupe
Guam,Guam
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Heard Island and McDonald Islands,Ynysoedd Heard ac Ynysoedd McDonald
Honduras,Honduras
Hong Kong,Hong Kong
Hungary,Hwngari
Iceland,Gwlad yr Iâ
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Irac
Isle of Man,Ynys Manaw
Israel,Israel
Italy,Yr Eidal
Ivory Coast,Y Traeth Ifori
Jamaica,Jamaica
Japan,Japan
Jordan,Gwlad yr Iorddonen
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
Kosovo,Kosovo
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Laos,Laos
Latvia,Latfia
Lebanon,Libanus
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Liechtenstein,Liechtenstein
Lithuania,Lithwania
Luxembourg,Lwcsembwrg
Macao ,Macao 
Madagascar,Madagasgar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Marshall Islands,Ynysoedd Marshall
Martinique,Martinique
Mauritania,Mauritania
Mauritius,Mauritius
Mayotte,Mayotte
Mexico,Mecsico
Micronesia,Micronesia
Moldova,Moldofa
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Montserrat,Montserrat
Morocco,Moroco
Mozambique,Mozambique
Myanmar (Burma),Myanmar (Burma)
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
The Netherlands,Yr Iseldiroedd
New Caledonia,Caledonia Newydd
New Zealand,Seland Newydd
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Niue,Niue
Norfolk Island,Ynys Norfolk
North Korea,Gogledd Korea
North Macedonia,Gogledd Macedonia
Northern Mariana Islands,Ynysoedd Gogleddol Mariana
Norway,Norwy
Occupied Palestinian Territories,Tiriogaethau Meddianedig Palesteina
Oman,Oman
Pakistan,Pacistan
Palau,Palau
Panama,Panama
Papua New Guinea,Papua Guinea Newydd
Paraguay,Paraguay
Peru,Periw
Philippines,Pilipinas (Ynysoedd Philippines)
"Pitcairn, Henderson, Ducie and Oeno Islands","Ynysoedd Pitcairn, Henderson, Ducie ac Oeno"
Poland,Gwlad Pwyl
Portugal,Portiwgal
Puerto Rico,Puerto Rico
Qatar,Qatar
Réunion,Réunion
Romania,Rwmania
Russia,Rwsia
Rwanda,Rwanda
Saint Martin (French part),Saint Martin (Rhan Ffrainc)
Samoa,Samoa
San Marino,San Marino
São Tomé and Príncipe,Sao Tome a Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Sint Maarten (Dutch Part),Sint Maarten (Rhan yr Iseldiroedd)
Slovakia,Slofacia
Slovenia,Slofenia
Solomon Islands,Ynysoedd Solomon
Somalia,Somalia
South Africa,De Affrica
South Georgia and the South Sandwich Islands,De Georgia ac Ynysoedd Sandwich y De
South Korea,De Korea
South Sudan,De Sudan
Spain (including Balearic Islands) ,Sbaen (gan gynnwys Ynysoedd Baleares) 
Sri Lanka,Sri Lanka
St Barthélemy,St Barthélemy
"St Helena, Ascension and Tristan da Cunha","St Helena, Ascension a Tristan da Cunha"
St Kitts and Nevis,St Kitts a Nevis
St Lucia,St Lucia
St Pierre and Miquelon,St Pierre a Miquelon
St Vincent and the Grenadines,St Vincent a'r Grenadines
Sudan,Sudan
Suriname,Suriname
Svalbard and Jan Mayen,Svalbard a Jan Mayen
Sweden,Sweden
Switzerland,Y Swistir
Syria,Syria
Taiwan,Taiwan
Tajikistan,Tajikistan
Tanzania,Tanzania
Thailand,Gwlad Thai
The Bahamas,Y Bahamas
The Gambia,Y Gambia
Togo,Togo
Tokelau,Tokelau
Tonga,Tonga
Trinidad and Tobago,Trinidad a Tobago
Tunisia,Tunisia
Turkey,Twrci
Turkmenistan,Turkmenistan
Turks and Caicos Islands,Ynysoedd Turks a Caicos
Tuvalu,Tuvalu
Uganda,Uganda
Ukraine,Ukrain
United Arab Emirates,Yr Emiraethau Arabaidd Unedig
United States minor outlying islands,Mân-ynysoedd Pellennig yr Unol Daleithiau
United States of America,Unol Daleithiau America
United States Virgin Islands,Ynysoedd Americanaidd Y Wyryf
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Vatican City,Dinas y Fatican
Venezuela,Venezuela
Vietnam,Fiet-nam
Wallis and Futuna,Wallis a Futuna
Western Sahara,Gorllewin Sahara
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
