en-gb,cy
Afghan,Affganaidd/Afghanaidd
African,Affricanaidd
African American,Affricanaidd Americanaidd
African Asian,Affricanaidd Asiaidd
African Caribbean,Affricanaidd Caribïaidd
Albanian,Albaniaidd
Algerian,Algeraidd
American,Americanaidd
Anglo Indian,Eingl-Indiaidd
Anglo Irish,Eingl-Wyddelig
Anglo Italian,Eingl-Eidalaidd
Anglo Saxon,Eingl-Sacsonaidd
Arab,Arabaidd
Argentinian,Archentaidd
Armenian,Armenaidd
Asian,Asiaidd
Asian British,Asiaidd Prydeinig
Asian English,Asiaidd Seisnig
Asian Northern Irish,Asiaidd o Ogledd Iwerddon
Asian Scottish,Asiaidd Albanaidd
Asian Welsh,Asiaidd Cymreig
Assyrian,Asyriaidd
Australian,Awstralaidd
Austrian,Awstriaidd
Baltic,Baltig
Bangladeshi,Bangladeshaidd
Belarusian,Belarwsiaidd
Belgian,Belgaidd
Berber,Berberaidd
Black African,Du Affricanaidd
Black British,Du Prydeinig
Black Caribbean,Du Caribïaidd
Black English,Du Seisnig
Black Northern Irish,Du o Ogledd Iwerddon
Black Scottish,Du Albanaidd
Black Welsh,Du Cymreig
Bosnian,Bosniaidd
Brazilian,Brasilaidd
British,Prydeinig
British Indian,Prydeinig Indiaidd
British Pakistani,Prydeinig Pacistanaidd
Bulgarian,Bwlgaraidd
Burmese or Myanma,Byrmanaidd neu Myanma/Burmanaidd neu Myanma
Cambodian,Cambodiaidd
Canadian,Canadaidd
Caribbean,Caribïaidd
Celtic,Celtaidd
Central European,Canol Ewropeaidd
Chilean,Chileaidd/Tsileaidd
Chinese,Tsieineaidd/Chineaidd
Colombian,Colombiaidd
Congolese,Congolaidd
Cornish,Cernywaidd
Croatian,Croataidd
Cypriot,Cypraidd
Czech,Tsiecaidd
Danish,Danaidd
Dutch,Iseldiraidd
East African,Dwyrain Affricanaidd
Eastern European,Dwyrain Ewropeaidd
Eelam Tamil,Eelam Tamil
Eritrean,Eritreaidd
Ethiopian,Ethiopaidd
Egyptian,Eifftaidd
English,Seisnig
Estonian,Estonaidd
Eurasian,Ewrasiaidd/Eurasiaidd
European,Ewropeaidd 
Fijian,Ffijïaidd
Filipina,Ffilipinaidd
Filipino,
Finnish,Ffinnaidd
French,Ffrengig
Georgian,Georgaidd
German,Almaenaidd
Ghanaian,Ghanaidd
Goan,Goaidd
Greek,Groegaidd
Greek Cypriot,Groegaidd Cypraidd/Cypraidd Groegaidd
Gurkha,Gurkha/Gyrca
Guyanese,Gaianaidd/Guyanaidd
Gypsy,Sipsi
Hellenic,Helenaidd
Hispanic,Sbaenig/Hisbaenaidd
Hungarian,Hwngaraidd
Icelandic,Islandaidd
Indian,Indiaidd
Indonesian,Indonesaidd
Iranian,Iranaidd
Iraqi,Iracaidd
Irish,Gwyddelig
Irish Traveller,Teithiwr Gwyddelig
Israeli,Israelaidd
Italian,Eidalaidd
Jamaican,Jamaicaidd
