en-gb,cy
Abkhazian,Abkhazeg
Afar,Afar
Afrikaans,Afrikaans
Albanian,Albanieg
Amharic,Amhareg
Arabic,Arabeg
Aragonese,Aragoneg
Armenian,Armeneg
Assamese,Assameg
Aymara,Aymara
Azerbaijani,Azerbaijaneg
Bambara,Bambara
Bashkir,Bashkir
Basque,Basgeg
Belarusian,Belarwseg
Bengali or Bangla,Bengaleg neu Bangla
Bihari languages,Ieithoedd Bihari
Bislama,Bislama
Bosnian,Bosnieg
Breton,Llydaweg/Brezhoneg
British Sign Language,Iaith Arwyddion Prydain
Bulgarian,Bwlgareg
Burmese,Burmaneg/Byrmaneg
Cantonese,Cantoneg
Castilian,Castileg
Catalan,Catalaneg
Chechen,Chechen
Chewa,Chewa
Chichewa,Chichewa
Chinese,Chineeg/Tsieineeg
Chuvash,Chuvash
Cornish,Cernyweg/Kernowek
Cree,Crïeg
Croatian,Croateg
Cymraeg,Cymraeg
Czech,Tsieceg
Danish,Daneg
Dari,Dari
Dhivehi,Dhivehi
Dutch,Iseldireg
Dzongkha,Dzongkha
English,Saesneg
Estonian,Estoneg
Ewe,Ewe
Faroese,Ffaröeg
Fijian,Ffijïeg
Filipino,Ffilipineg
Finnish,Ffinneg
Flemish,Fflemineg
French,Ffrangeg
Fulah,Fulah
Gaelic,Gaeleg/Gaelige
Ganda,Ganda
Georgian,Georgeg
German,Almaeneg
Gikuyu,Gikuyu
Greek,Groeg
Greenlandic,Glasynyseg
Guarani,Guarani/Gwarani
Gujarati,Gujarati/Gwjarati
Haitian,Haiteg
Haitian Creole,Creoliaith Haiti
Hausa,Hausa/Hawsa
Hebrew,Hebraeg
Herero,Herero
Hindi,Hindi
Hungarian,Hwngareg
Icelandic,Islandeg
Igbo,Igbo
Indonesian,Indoneseg
Irish,Gwyddeleg
Italian,Eidaleg
Japanese,Japaneeg/Siapaneeg
Javanese,Javaneg/Jafaneg
Kannada,Kannada/Canareg
Kanuri,Kanuri
Kashmiri,Kashmireg/Cashmireg
Kazakh,Kazakh
Kikuyu,Kikuyu
Kinyarwanda,Kinyarwanda
Komi,Komi
Korean,Korëeg/Corëeg
Kurdish,Kurdeg/Cwrdeg
Kwanyama,Kwanyama
Kyrgyz,Kyrgyz
Lao,Laoseg
Latvian,Latfieg
Letzeburgesch,Letzeburgesch
Lingala,Lingala
Lithuanian,Lithwaneg
Luxembourgish,Lwcsembwrgeg
Macedonian,Macedoneg
Malagasy,Malagasi
Malay,Maleieg
Malayalam,Malaialam
Maldivian,Iaith Maldives
Maltese,Malteg
Mandarin,Mandarin
Manx,Manaweg
Maori,Maori
Marathi,Marati
Mirpuri,Mirpuri
Moldavian,Moldofeg
Moldovan,
Mongolian,Mongoleg
Navajo,Navajo
Nepali,Nepaleg
North Ndebele,Ndebele Gogleddol
Norwegian,Norwyeg
Norwegian Bokmål,Norwyeg (Bokmål)
Norwegian Nynorsk,Norwyedg (Nynorsk)
Nyanja,Nyanja
Oriya,Oriya
Oromo,Oromo
Panjabi,Pwnjabeg
Pashto,Pashto
Persian or Farsi,Perseg neu Ffarsi
Polish,Pwyleg
Portuguese,Portiwgaleg
Punjabi,Punjabeg
Pushto,Pushto
Quechua,Quechua
Romanian,Romaneg/Rwmaneg
Romansh,Romansh
Rundi,Rundi
Russian,Rwseg
Samoan,Samöeg
Sango,Sango
Scottish Gaelic,Gaeleg yr Alban/Gàidhlig
Serbian,Serbeg
Shona,Shona
Sindhi,Sindhi
Sinhala,Sinhala
Sinhalese,
Slovak,Slofaceg
Slovenian,Slofeneg
Somali,Somalieg
Southern Sotho,Sotho Deheuol
South Ndebele,Ndebele Deheuol
Spanish,Sbaeneg
Sundanese,Sundaneg/Swndaneg
Swahili,Swahili
Swati,Swati
Swedish,Swedeg
Sylheti,Sylheti
Tagalog,Tagalog
Tahitian,Tahitïeg
Tajik,Tajik
Tamil,Tamil
Tatar,Tatar
Telugu,Telugu/Telwgw
Thai,Thai
Tibetan,Tibeteg
Tigrinya,Tigrinya
Tonga (Tonga Islands),Tonga (Ynysoedd Tonga)
Tsonga,Tsonga
Tswana,Tswana
Turkish,Twrceg/Tyrceg
Turkmen,Turkmeneg/Tyrcmeneg
Twi,Twi
Uighur,Uighur
Ukrainian,Ukreineg/Wcreineg
Urdu,Urdu/Wrdw
Uyghur,Uyghur
Uzbek,Uzbek
Venda,Venda
Vietnamese,Vietnameg/Fietnameg
Walloon,Walwneg
Welsh,Cymraeg
Wolof,Woloff
Xhosa,Xhosa
Yiddish,Yiddeg/Iddew-Almaeneg
Yoruba,Yoruba/Iorwba
Zhuang,Zhuang
Zulu,Zulu/Zwlw
