en-gb,cy
Afghan,Afghaniad/Affganiad
African,Affricanwr/Affricanes
Ålandic,Un o Ynysoedd Åland
Albanian,Albaniad
Algerian,Algeriad
American,Americanwr/Americanes
American Islander,Un o Ynysoedd America
American Samoan,Samoad Americanaidd
Andorran,Andoriad
Angolan,Angoliad
Anguillian,Anguilliad
Antiguan,Antigwad
Argentinian,Archentwr/Archentwraig/Un o'r Ariannin
Armenian,Armeniad
Aruban,Arubiad/Arwbiad
Asian,Asiad
Australian,Awstraliad
Austrian,Awstriad
Azerbaijani,Azerbaijaniad
Bahamian,Bahamiad
Bahraini,Bahrainiad
Bangladeshi,Bangladeshiad
Barbadian,Barbadiad
Barbudan,Barbudiad
Barthélemois,Un o St Barthélemy
Batswana,Botswaniad
Belarusian,Belarwsiad
Belgian,Belgiad
Belizean,Beliziad
Beninese,Beniniad
Bermudian,Bermudiad
Bhutanese,Bhutaniad
Bissau-Guinean,Un o Guineau-Bissau
Bolivian,Bolifiad
Bonairean,Un o Bonaire
Statian,Un o Unol Daleithiau America
Sabian,Sabiad
Bosnian,Bosniad
Brazilian,Brasiliad
British,Prydeiniwr/Prydeinwraig
Bruneian,Un o Brunei
Bulgarian,Bwlgariad
Burkinese,Un o Burkina Faso
Burmese,Burmaniad/Byrmaniad
Burundian,Burundiad/Bwrwndiad
Cambodian,Cambodiad
Cameroonian,Camerooniad
Canadian,Canadiad
Canarian,Un o'r Ynysoedd Dedwydd
Cape Verdean,Un o Cabo Verde
Caymanian,Un o Ynysoedd Cayman
Central African,Un o Ganolbarth Affrica/Un o Weriniaeth Canol Affrica
Chadian,Chadiad
Chagos Islander,Un o Ynysoedd Chagos
Channel Islander,Un o Ynysoedd y Sianel
Chilean,Chilead/Tsilead
Chinese,Chinead/Tsieinead
Christmas Islander,Un o Ynys y Nadolig
Cocos Islander,Un o Ynysoedd Cocos
Colombian,Colombiad
Comorian,Comoriad
Congolese (Democratic Republic of Congo),Congoliad (Gweriniaeth Ddemocrataidd Congo)
Congolese (Republic of Congo),Congoliad (Gweriniaeth Congo)
Cook Islander,Un o Ynysoedd Cook
Cornish,Cernywiad/Un o Gernyw
Costa Rican,Un o Costa Rica
Croatian,Croatiad
Cuban,Ciwbaniad
Curaçaoan,Curaçaoiad
Cypriot,Cypriad
Czech,Tsieciad
Danish,Daniad
Djiboutian,Djiboutiad
Dominican (Dominica),Dominiciad (Dominica)
Dominican (Dominican Republic),Dominiciad (Gweriniaeth Dominica)
Dutch,Iseldirwr/Iseldirwraig
East Timorese,Un o Ddwyrain Timor
Ecuadorian,Ecuadoriad/Ecwadoriad
Egyptian,Eifftiad
Emirati,Un o'r Emiraethau Arabaidd Unedig
English,Sais/Saesnes
Equatoguinean,Un o Guinea Gyhydeddol
Equatorial Guinean,
Eritrean,Eritread
Estonian,Estoniad
Ethiopian,Ethiopiad
European,Ewropead
Falkland Islander,Un o Ynysoedd Falkland (Malvinas)
Faroese,Ffaroad
Fijian,Ffijïad
Filipina,Ffilipina
Filipino,Ffilipino
Finnish,Ffiniad
French,Ffrancwr/Ffrances
French Polynesian,Un o Polynesia Ffrengig
Futunan,Futuniad
Gabonese,Gaboniad
Gambian,Gambiad
Georgian,Georgiad
German,Almaenwr/Almaenes
Ghanaian,Ghanaiad
Gibraltarian,Gibraltariad
Greek,Groegwr/Groeges
Greek Cypriot,Cypriad Groegaidd
Greenlandic,Un o Kalaallit Nunaat (Greenland)
Grenadian,Grenadiad
Guadeloupean,Guadeloupiad
Guamanian,Guamiad/Gwamiad
Guatemalan,Guatemaliad/Gwatemaliad
Guianan,Gaianiad
Guinean (Guinea),Un o Guinea (Guinea)
Guinean (Guinea-Bissau),Un o Guinea (Guinea-Bissau)
Guyanese,Gyuaniad
Haitian,Haitïad
Honduran,Honduriad
HongKonger,Un o Hong Kong
Hong Kong Chinese,Chinead Hong Kong/Tsieinead Hong Kong
Hungarian,Hwngariad
Icelandic,Un o Wlad yr Iâ
I-Kiribati,Un o Kiribati
Indian,Indiad
Indonesian,Indonesiad
Iranian,Iraniad
Iraqi,Iraciad
Irish,Gwyddel/Gwyddeles
Israeli,Israeliad
Italian,Eidalwr/Eidales
Ivorian,Un o'r Traeth Ifori
Jamaican,Jamaicad
Japanese,Japanead/Siapanead
Jordanian,Un o Wlad yr Iorddonen
Kazakhstani,Kazakhstaniad
Kenyan,Kenyad/Ceniad
Kernewek,Kernewek
Kernouak,Kernouak
Kernowyon,Kernowyon
Kernowek,Kernowek
Kittitian,Un o St Kitts
Korean,Koread/Coread
Kosovan,Kosoviad/Cosofiad
Kurdish,Kurdiad/Cwrdiad
Kuwaiti,Kuwaitiad/Coweitiad
Kyrgyz,Kyrgyzstaniad
Lao,Laosiad
Latvian,Latfiad
Lebanese,Lebaniad/Libaniad
Lesothan,Lesothiad
Liberian,Liberiad
Libyan,Libiad
Liechtensteiner,Liechtensteiniad
Lithuanian,Lithwaniad
Luxembourger,Luxembourgiad
Macau,Macaoiad
Macedonian,Macedoniad
Madagascan,Madagasgiad
Malawian,Malawiad
Malaysian,Malaysiad
Maldivian,Maldiviad
Malian,Maliad
Maltese,Melitiad
Manx,Manawiad
Maori,Maori
Marshallese,Un o Ynysoedd Marshall
Martiniquan,Martiniquiad
Mauritanian,Mauritaniad/Mawritaniad
Mauritian,Mauritiad/Mawritiad
Mexican,Mexicanwr/Mecsicanwr/Mexicanes/Mecsicanes
Micronesian,Micronesiad
Miquelonnais,Miqueloniad
Moldovan,Moldofiad
Monacan,Monaciad
Mongolian,Mongoliad
Montenegrin,Montenegroad
Montserratian,Montserratiad
Moroccan,Morociad
Motswana,Botswaniad
Mozambican,Mozambiquiad
Myanma,Un o Myanmar (Burma)
Namibian,Namibiad
Nauruan,Nauruad/Nawrŵad
Nepali,Nepali
Nevisian,Un o Nevis
New Caledonian,Un o Caledonia Newydd
New Zealander,Un o Seland Newydd
Nicaraguan,Nicaragwad
Nigerian (Nigeria),Nigeriad (Nigeria)
Nigerien (Niger),Nigeriad (Niger)
Niuean,Un o Niue
Ni-Vanuatu,Un o Vanuatu
Norfolk Islander,Un o Ynys Norfolk
North Korean,Un o Ogledd Korea/Un o Ogledd Corea
