en-gb,cy
Agnostic,Agnostig
Ahmadi Muslim,Mwslim Ahmadi/Moslem Ahmadi
Alevi,Alevi
Anglican,Anglicaniad
Atheist,Anffyddiwr/Anffyddwraig
Bahai,Bahai
Baptist,Bedyddiwr/Bedyddwraig
Born Again Christian,Cristion Ailanedig
Buddhist,Bwdhydd
Catholic,Catholig/Pabydd/Pabyddes
Chapel,Capel
Christadelphian,Cristadelffiad
Christian,Cristion
Christian Orthodox,Cristion Uniongred
Church in Wales,Eglwys yng Nghymru
Church of Christ,Eglwys Crist
Church of England,Eglwys Loegr
Church of God,Eglwys Duw
Church of Scotland,Eglwys yr Alban
Coptic Orthodox,Coptig Uniongred
Deist,Dëist
Druid,Derwydd
Evangelical,Efengylaidd
Gnostic,Gnostig
Greek Orthodox,Uniongred Groegaidd
Hare Krishna,Hare Krishna
Hindu,Hindŵ
Holistic,Holistaidd
Independent,Annibynnol
Jain,Jain
Jehovah's Witness,Tyst Jehovah
Jewish,Iddewig
Kirat,Kirat
Latter Day Saint,Saint y Dyddiau Diwethaf
Lutheran,Lutheriad
Methodist,Methodist
Mormon,Mormon
Muslim,Mwslim/Moslem
No Religion,Dim Crefydd
Pagan,Pagan
Pantheist,Pantheist
Pentecostal,Pentecostiad
Presbyterian,Presbyteriad
Protestant,Protestant
Quaker,Crynwr/Crynwraig
Rastafarian,Rastaffariad
Ravidassia,Ravidassia
Roman Catholic,Catholig Eglwys Rufain/Pabydd Eglwys Rufain/Pabyddes Eglwys Rufain
Russian Orthodox,Uniongred Rwsiaidd
Salvation Army,Byddin yr Iachawdwriaeth
Satanist,Satanydd
Scientology,Seientoleg
Serbian Orthodox,Uniongred Serbaidd
Seventh Day Adventist,Adfentydd y Seithfed Dydd
Shinto,Shinto
Sikh,Sikh
Spiritual,Ysbrydol
Spiritualist,Ysbrydegydd
Taoist,Taöydd
Theist,Theistiad
Unitarian,Undodwr
Welsh Baptist,Bedyddiwr Cymreig/Bedyddwraig Gymreig
Wiccan,Wiccan
Yazidi,Yazidi
Zoroastrian,Zoroastriad
